productkey,product_id,product_name,base_price,quantity_available,category_name,distributor_name,distributor_email,region
1,P1000001,"3M Hangers With Command Adhesive",2.96,120,Furniture,"Roys Distributing",info@roysdistributing.com,South
2,P1000002,"Eldon 100 Class Desk Accessories",4.04,60,Furniture,"ABC Warehouse",abc@warehouse.com,West
3,P1000003,"Regeneration Desk Collection",5.28,120,Furniture,"District Wholesale",fred@districtwholesale.com,West
4,P1000004,"Longer-Life Soft White Bulbs",6.16,60,Furniture,"Middle Man Distributors",orders@middleman.com,Central
5,P1000005,"6" Cubicle Wall Clock, Black",9.71,90,Furniture,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
6,P1000006,"Staple-based wall hangings",11.69,90,Furniture,"Bulk on Demand Inc",orders@bulkondemand.com,West
7,P1000008,"C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings",15.14,120,Furniture,"Happy Distributors",info@happydist.com,East
8,P1000009,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.23,120,Furniture,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
9,P1000010,"Telescoping Adjustable Floor Lamp",15.99,60,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
10,P1000011,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,120,Furniture,"Roys Distributing",info@roysdistributing.com,South
11,P1000015,"Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp",26.8,60,Furniture,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
12,P1000017,"Eldon 200 Class Desk Accessories, Burgundy",35.17,150,Furniture,"Order Pros",csmith@orderpros.com,West
13,P1000018,"Magnifier Swing Arm Lamp",41.96,120,Furniture,"Happy Distributors",info@happydist.com,East
14,P1000021,"Artistic Insta-Plaque",47.04,60,Furniture,"Roys Distributing",info@roysdistributing.com,South
15,P1000022,"Eldon Wave Desk Accessories",47.12,120,Furniture,"ABC Warehouse",abc@warehouse.com,West
16,P1000023,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,90,Furniture,"District Wholesale",fred@districtwholesale.com,West
17,P1000024,"Seth Thomas 13 1/2" Wall Clock",53.34,120,Furniture,"Middle Man Distributors",orders@middleman.com,Central
18,P1000029,"Global Deluxe Stacking Chair, Gray",71.37,60,Furniture,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
19,P1000030,"Executive Impressions 14" Two-Color Numerals Wall Clock",72.7,180,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
20,P1000032,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,90,Furniture,"ABC Warehouse",abc@warehouse.com,West
21,P1000033,"Luxo Economy Swing Arm Lamp",79.76,150,Furniture,"District Wholesale",fred@districtwholesale.com,West
22,P1000034,"Bush Westfield Collection Bookcases, Medium Cherry Finish",86.97,60,Furniture,"Middle Man Distributors",orders@middleman.com,Central
23,P1000035,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",87.54,180,Furniture,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
24,P1000036,"Global Leather Task Chair, Black",89.99,90,Furniture,"Bulk on Demand Inc",orders@bulkondemand.com,West
25,P1000038,"Seth Thomas 14" Putty-Colored Wall Clock",93.89,90,Furniture,"Happy Distributors",info@happydist.com,East
26,P1000040,"9-3/4 Diameter Round Wall Clock",96.53,180,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
27,P1000041,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36" x 48"",97.04,120,Furniture,"Roys Distributing",info@roysdistributing.com,South
28,P1000042,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,90,Furniture,"ABC Warehouse",abc@warehouse.com,West
29,P1000043,"Howard Miller 13-3/4" Diameter Brushed Chrome Round Wall Clock",124.2,180,Furniture,"District Wholesale",fred@districtwholesale.com,West
30,P1000044,"DMI Arturo Collection Mission-style Design Wood Chair",135.88,150,Furniture,"Middle Man Distributors",orders@middleman.com,Central
31,P1000048,"Global Low Back Tilter Chair",161.57,90,Furniture,"Happy Distributors",info@happydist.com,East
32,P1000050,"KI Conference Tables",177.23,180,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
33,P1000051,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,180,Furniture,"Roys Distributing",info@roysdistributing.com,South
34,P1000053,"Global Fabric Manager's Chair, Dark Gray",212.06,90,Furniture,"District Wholesale",fred@districtwholesale.com,West
35,P1000054,"Global Value Mid-Back Manager's Chair, Gray",213.12,180,Furniture,"Middle Man Distributors",orders@middleman.com,Central
36,P1000056,"Eldon ClusterMat Chair Mat with Cordless Antistatic Protection",218.35,60,Furniture,"Bulk on Demand Inc",orders@bulkondemand.com,West
37,P1000057,"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",218.75,120,Furniture,"Order Pros",csmith@orderpros.com,West
38,P1000058,"BPI Conference Tables",219.08,150,Furniture,"Happy Distributors",info@happydist.com,East
39,P1000059,"Global Deluxe Office Fabric Chairs",230.35,180,Furniture,"Retail Distribution Inc",hbradley@retaildistributioninc.com,Northwest
40,P1000060,"Bush Advantage Collection Round Conference Table",233.86,90,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
41,P1000061,"Eldon Cleatmat Plus Chair Mats for High Pile Carpets",238.56,90,Furniture,"Roys Distributing",info@roysdistributing.com,South
42,P1000063,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39" x 49"",258.07,90,Furniture,"District Wholesale",fred@districtwholesale.com,West
43,P1000064,"Bush Somerset Collection Bookcase",261.96,120,Furniture,"Middle Man Distributors",orders@middleman.com,Central
44,P1000065,"Howard Miller 13" Diameter Goldtone Round Wall Clock",300.42,60,Furniture,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
45,P1000066,"Novimex Swivel Fabric Task Chair",301.96,120,Furniture,"Bulk on Demand Inc",orders@bulkondemand.com,West
46,P1000067,"Novimex Turbo Task Chair",319.41,90,Furniture,"Order Pros",csmith@orderpros.com,West
47,P1000068,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",321.57,90,Furniture,"Happy Distributors",info@happydist.com,East
48,P1000070,"Global Value Steno Chair, Gray",340.14,120,Furniture,"Wholesale Operative LLC",sandra@wholesaleoperative.com,Northwest
49,P1000072,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",375.46,150,Furniture,"ABC Warehouse",abc@warehouse.com,West
50,P1000074,"Sauder Barrister Bookcases",388.7,150,Furniture,"Middle Man Distributors",orders@middleman.com,Central
51,P1000075,"Global Push Button Manager's Chair, Indigo",389.7,60,Furniture,"Wholesale Solutions LLC",wholesalesolutions@gmail.com,Northweast
