product_id,product_name,base_price,quantity_available,category_id,distributor_id
P1000001,3M Hangers With Command Adhesive,2.96,120,FUR,2155236
P1000002,Eldon 100 Class Desk Accessories,4.04,60,FUR,2052188
P1000003,Regeneration Desk Collection,5.28,120,FUR,5285412
P1000004,Longer-Life Soft White Bulbs,6.16,60,FUR,9952745
P1000005,"6"" Cubicle Wall Clock, Black",9.71,90,FUR,6187541
P1000006,Staple-based wall hangings,11.69,90,FUR,2252321
P1000007,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,90,TEC,6002152
P1000008,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15.14,120,FUR,452125
P1000009,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15.23,120,FUR,8885421
P1000010,Telescoping Adjustable Floor Lamp,15.99,60,FUR,1455601
P1000011,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,120,FUR,2155236
P1000012,Newell 318,19.46,120,OFF,2052188
P1000013,Logitech†LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,150,TEC,5285412
P1000014,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,120,TEC,9952745
P1000015,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,26.8,60,FUR,6187541
P1000016,Speck Products Candyshell Flip Case,27.99,60,TEC,2252321
P1000017,"Eldon 200 Class Desk Accessories, Burgundy",35.17,150,FUR,6002152
P1000018,Magnifier Swing Arm Lamp,41.96,120,FUR,452125
P1000019,Imation†8gb Micro Traveldrive Usb 2.0†Flash Drive,45,60,TEC,8885421
P1000020,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,90,TEC,1455601
P1000021,Artistic Insta-Plaque,47.04,60,FUR,2155236
P1000022,Eldon Wave Desk Accessories,47.12,120,FUR,2052188
P1000023,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,90,FUR,5285412
